Name,Team,Attack Points,Attack Errors,Attack Attempts,Block Points,Block Errors,Rebounds,Serve Points,Serve Errors,Serve Attempts,Successful Sets,Set Errors,Set Attempts,Spike Digs,Dig Errors,Successful Receives,Receive Errors,Receive Attempts
Rao S.H.,CHN,4,0,5,1,9,5,0,0,23,0,0,3,3,4,0,0,5
Recine,ITA,0,1,2,1,0,0,0,0,1,0,0,3,0,0,0,0,5
Ristić,SRB,0,0,0,0,0,0,0,0,0,2,1,34,46,27,25,11,97
Robinson,USA,75,35,52,7,17,15,8,32,50,2,0,14,16,17,33,10,123
Röhrs,GER,94,38,100,8,29,14,6,35,86,3,0,30,51,9,31,10,120
Romanò,ITA,73,24,49,5,16,10,9,17,55,1,0,8,13,12,0,0,2
Rowan,USA,0,1,3,2,2,5,0,8,18,45,0,122,8,4,0,0,0
Rychlicki,ITA,59,18,47,4,5,9,7,12,47,0,0,7,18,5,0,0,1
Saadat,IRI,56,16,29,8,13,8,4,12,36,0,0,5,10,5,0,3,3
Sabino,BRA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanchez Pages,ARG,1,0,3,0,9,9,3,12,97,227,4,407,33,15,0,0,8
Sanguinetti,ITA,5,0,5,1,9,9,1,6,7,0,0,0,2,1,0,0,4
Sani,ITA,27,7,24,3,4,5,1,7,18,0,0,7,14,5,6,9,38
Sasak,POL,79,24,79,8,25,17,8,27,79,3,0,14,17,19,0,0,1
Sato,JPN,28,1,15,7,19,28,4,5,52,1,0,5,5,4,1,0,5
Savaş,TUR,23,3,20,10,19,28,0,7,33,0,0,4,12,0,2,0,2
Sbertoli,ITA,0,0,1,1,9,2,0,2,23,59,0,71,8,6,0,0,0
Scarpa,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schnitzer,CAN,10,4,9,3,8,11,1,9,29,0,0,3,3,2,1,1,2
Sclater,CAN,42,16,35,6,15,10,3,12,56,0,0,4,18,8,1,0,4
Semeniuk,UKR,61,8,34,27,40,33,6,12,103,1,0,32,17,10,16,3,44
Semeniuk,POL,51,10,34,1,6,12,3,10,43,0,0,8,14,5,4,0,12
Šen,SLO,2,1,8,0,1,0,0,3,6,0,0,2,1,0,3,3,6
Shchytkov,UKR,5,2,3,3,20,15,2,11,54,158,2,277,17,5,0,0,1
Shimokawa,JPN,0,0,0,0,1,1,0,0,7,17,0,21,2,0,0,0,0
Shoji,USA,0,0,0,0,0,0,0,0,0,0,0,12,9,9,12,0,13
Śliwka,POL,16,6,13,1,3,3,1,3,15,0,0,7,5,4,8,4,14
Soshi,JPN,0,0,0,0,0,0,0,0,0,0,0,3,9,4,5,1,15
Štalekar,SLO,23,2,12,6,20,18,2,4,62,0,0,2,8,4,0,0,7
